x,v_ana,d_ana,v_gts_fo,d_gts_fo,v_gts_tvd,d_gts_tvd,v_lts_fo,d_lts_fo,v_lts_tvd,d_lts_tvd
9.625,3.22233763402033,2.20698770767421,3.22704852544,2.20117456849,3.22605330696,2.20631291014,3.22704852544,2.20117456849,3.22605330696,2.20631291014
9.675,3.22233763402033,2.20698770767421,3.22872821773,2.20034762291,3.22560633714,2.20586399045,3.22872821773,2.20034762291,3.22560633714,2.20586399045
9.725,3.22233763402033,2.20698770767421,3.22858147209,2.20038515072,3.22545551901,2.20582740121,3.22858147209,2.20038515072,3.22545551901,2.20582740121
9.775,3.22233763402033,2.20698770767421,3.22754845952,2.20084182101,3.22538617912,2.20611224324,3.22754845952,2.20084182101,3.22538617912,2.20611224324
9.825,3.22233763402033,2.20698770767421,3.22624302604,2.20142695588,3.2253351044,2.20657249048,3.22624302604,2.20142695588,3.2253351044,2.20657249048
9.875,3.22233763402033,2.20698770767421,3.22497617226,2.20199324374,3.22478344448,2.20693100408,3.22497617226,2.20199324374,3.22478344448,2.20693100408
9.925,3.22233763402033,2.20698770767421,3.22385979519,2.20248763783,3.2238263238,2.2071409011,3.22385979519,2.20248763783,3.2238263238,2.2071409011
9.975,3.22233763402033,2.20698770767421,3.22290727248,2.20290375444,3.22281581184,2.20728603669,3.22290727248,2.20290375444,3.22281581184,2.20728603669
10.025,3.22233763402033,2.20698770767421,3.22209766808,2.2032514729,3.22234162535,2.20756639751,3.22209766808,2.2032514729,3.22234162535,2.20756639751
10.075,3.22233763402033,2.20698770767421,3.22140505859,2.20354304277,3.22218990798,2.20784566077,3.22140505859,2.20354304277,3.22218990798,2.20784566077
10.125,3.22233763402033,2.20698770767421,3.22080747022,2.20378884716,3.22210277499,2.20801566008,3.22080747022,2.20378884716,3.22210277499,2.20801566008
10.175,3.22233763402033,2.20698770767421,3.22028777359,2.20399697661,3.22195790845,2.20804146994,3.22028777359,2.20399697661,3.22195790845,2.20804146994
10.225,3.22233763402033,2.20698770767421,3.21983266532,2.20417371019,3.22186530404,2.20796239286,3.21983266532,2.20417371019,3.22186530404,2.20796239286
10.275,3.22233763402033,2.20698770767421,3.21943165143,2.20432399631,3.22197745046,2.20788120779,3.21943165143,2.20432399631,3.22197745046,2.20788120779
10.325,3.22233763402033,2.20698770767421,3.21907631813,2.20445179757,3.22226715914,2.20779245015,3.21907631813,2.20445179757,3.22226715914,2.20779245015
10.375,3.22233763402033,2.20698770767421,3.21875982329,2.20456033127,3.22264065232,2.20771063561,3.21875982329,2.20456033127,3.22264065232,2.20771063561
10.425,3.22233763402033,2.20698770767421,3.21847653342,2.20465224104,3.22286249863,2.20758590025,3.21847653342,2.20465224104,3.22286249863,2.20758590025
10.475,3.22233763402033,2.20698770767421,3.21822175855,2.2047297221,3.22298835079,2.20746719512,3.21822175855,2.2047297221,3.22298835079,2.20746719512
10.525,3.22233763402033,2.20698770767421,3.21799155539,2.20479461431,3.22308674568,2.2073867751,3.21799155539,2.20479461431,3.22308674568,2.2073867751
