x,v_ana,d_ana,v_gts_fo,d_gts_fo,v_gts_tvd,d_gts_tvd,v_lts_fo,d_lts_fo,v_lts_tvd,d_lts_tvd
11.775,8.120567048008116,0.4951250653261319,7.84447985817,0.530809413942,8.06282947101,0.509870952939,7.84447985817,0.530809413942,8.06282947101,0.509870952939
11.825,8.231678159119213,0.47047762389941283,7.94059549774,0.506365214168,8.17767865788,0.485019876147,7.94059549774,0.506365214168,8.17767865788,0.485019876147
11.875,8.342789270230313,0.44645942197384514,8.03605396893,0.482334823586,8.29169256981,0.460557374911,8.03605396893,0.482334823586,8.29169256981,0.460557374911
11.925,8.453900381341413,0.4230704595494146,8.13071559685,0.458688869203,8.40440790837,0.436393710014,8.13071559685,0.458688869203,8.40440790837,0.436393710014
11.975,8.56501149245251,0.4003107366261247,8.22439029395,0.43539062898,8.51347877002,0.412517876171,8.22439029395,0.43539062898,8.51347877002,0.412517876171
12.025,8.67612260356361,0.3781802532039613,8.31682150365,0.412394369017,8.62292454274,0.38937277265,8.31682150365,0.412394369017,8.62292454274,0.38937277265
12.075,8.787233714674706,0.35667900928294927,8.40766663247,0.389643717343,8.73730704389,0.36708574108,8.40766663247,0.389643717343,8.73730704389,0.36708574108
12.125,8.898344825785806,0.33580700486307435,8.4964741135,0.36707037083,8.85693011819,0.34532354039,8.4964741135,0.36707037083,8.85693011819,0.34532354039
12.175,9.009455936896906,0.3155642399443366,8.58265785523,0.344593613872,8.97838885335,0.324226031181,8.58265785523,0.344593613872,8.97838885335,0.324226031181
12.225,9.120567048008002,0.29595071452673594,8.66547076647,0.322121362917,9.09897524633,0.303727230003,8.66547076647,0.322121362917,9.09897524633,0.303727230003
12.275,9.231678159119106,0.27696642861027243,8.74398037426,0.299553722653,9.22045820451,0.283689491913,8.74398037426,0.299553722653,9.22045820451,0.283689491913
12.325,9.342789270230202,0.2586113821949567,8.81705127738,0.2767902922,9.34451002879,0.263999410853,8.81705127738,0.2767902922,9.34451002879,0.263999410853
12.375,9.453900381341303,0.2408855752807746,8.88334118668,0.253742570337,9.46955221403,0.244649175895,8.88334118668,0.253742570337,9.46955221403,0.244649175895
12.425,9.565011492452403,0.22378900786772604,8.94131924231,0.230352558059,9.595256647,0.225582137546,8.94131924231,0.230352558059,9.595256647,0.225582137546
12.475,9.676122603563499,0.2073216799558253,8.98931644801,0.206617724768,9.71910738354,0.206780807926,8.98931644801,0.206617724768,9.71910738354,0.206780807926
12.525,9.7872337146746,0.19148359154506167,9.02561725289,0.182620546152,9.84838058408,0.188095480437,9.02561725289,0.182620546152,9.84838058408,0.188095480437
12.575,9.898344825785696,0.1762747426354352,9.04859703039,0.158557696637,9.96977569002,0.169811105621,9.04859703039,0.158557696637,9.96977569002,0.169811105621
12.625,10.009455936896796,0.1616951332269423,9.05690111268,0.134760167321,10.0956261161,0.151898420602,9.05690111268,0.134760167321,10.0956261161,0.151898420602
12.675,10.120567048007896,0.14774476331959363,9.04964706025,0.11169263842,10.2381522877,0.134419673042,9.04964706025,0.11169263842,10.2381522877,0.134419673042
12.725,10.231678159118992,0.1344236329133892,9.02661560405,0.0899210189017,10.3754637105,0.117455369075,9.02661560405,0.0899210189017,10.3754637105,0.117455369075
12.775,10.342789270230096,0.12173174200831838,8.98838337918,0.0700438196653,10.5566378284,0.100436218966,8.98838337918,0.0700438196653,10.5566378284,0.100436218966
12.825,10.453900381341192,0.10966909060438113,8.93635064233,0.0525961540835,10.750648126,0.0839230773016,8.93635064233,0.0525961540835,10.750648126,0.0839230773016
12.875,10.565011492452292,0.09823567870158811,8.87263595598,0.0379500745934,10.9401622924,0.0679537256106,8.87263595598,0.0379500745934,10.9401622924,0.0679537256106
12.925,10.676122603563392,0.08743150629993579,8.7998455343,0.0262429553211,11.2286095122,0.0518868746151,8.7998455343,0.0262429553211,11.2286095122,0.0518868746151
12.975,10.787233714674489,0.07725657339942416,8.72076487624,0.0173593059638,11.5564412213,0.0364313023195,8.72076487624,0.0173593059638,11.5564412213,0.0364313023195
13.025,10.898344825785589,0.06771088000004255,8.63804580969,0.0109715396353,11.3238398979,0.0206344279633,8.63804580969,0.0109715396353,11.3238398979,0.0206344279633
13.075,11.009455936896686,0.058794426101805186,8.55395990513,0.00662225242044,10.7986917164,0.0117013733541,8.55395990513,0.00662225242044,10.7986917164,0.0117013733541
13.125,11.120567048007786,0.05050721170470851,8.47026090932,0.00381745761379,10.3965227434,0.00623373727224,8.47026090932,0.00381745761379,10.3965227434,0.00623373727224
13.175,11.231678159118886,0.04284923680875252,8.38815965507,0.00210270282856,10.0464514246,0.00319115467875,8.38815965507,0.00210270282856,10.0464514246,0.00319115467875
13.225,11.342789270229982,0.035820501413926564,8.30838310123,0.00110748303038,9.76153163266,0.00157928658721,8.30838310123,0.00110748303038,9.76153163266,0.00157928658721
13.275,11.453900381341086,0.029421005520244847,8.23127473728,0.000558257468296,9.4918561175,0.0007318108726,8.23127473728,0.000558257468296,9.4918561175,0.0007318108726
13.325,11.565011492452182,0.02365074912770382,8.15689436979,0.000269571953991,9.2971759195,0.00037352438814,8.15689436979,0.000269571953991,9.2971759195,0.00037352438814
13.375,11.676122603563282,0.018509732236299925,8.08508009362,0.000124811229016,9.09514586171,0.000179676913932,8.08508009362,0.000124811229016,9.09514586171,0.000179676913932
13.425,11.787233714674382,0.013997954846033167,8.01542683684,5.54541117666e-05,8.87980580649,7.72159400823e-05,8.01542683684,5.54541117666e-05,8.87980580649,7.72159400823e-05
13.475,11.898344825785479,0.010115416956907097,7.94708450543,2.36596608014e-05,8.70830089893,3.54717333366e-05,7.94708450543,2.36596608014e-05,8.70830089893,3.54717333366e-05
13.525,12.009455936896579,0.006862118568918163,7.87811116072,9.69667072285e-06,8.56103257991,1.59071659296e-05,7.87811116072,9.69667072285e-06,8.56103257991,1.59071659296e-05
13.575,12.120567048007675,0.0042380596820734695,7.80361578507,3.81549960378e-06,8.43230996395,7.61400800959e-06,7.80361578507,3.81549960378e-06,8.43230996395,7.61400800959e-06
13.625,12.231678159118776,0.002243240296358806,7.71038653385,1.43735429709e-06,8.29693904723,3.28985290407e-06,7.71038653385,1.43735429709e-06,8.29693904723,3.28985290407e-06
13.675,12.342789270229876,0.0008776604117883835,7.56051407057,5.13493967114e-07,8.1396700795,1.33048846088e-06,7.56051407057,5.13493967114e-07,8.1396700795,1.33048846088e-06
13.725,12.453900381340972,0.0001413200283586491,7.23529380732,1.68854190465e-07,7.9223973399,5.0973575109e-07,7.23529380732,1.68854190465e-07,7.9223973399,5.0973575109e-07
